carrier,title,tag,price,priceType,sub,badge1,badge2,badge3
skt,아이폰17 256,기기변경,39,free,109요금 6개월,부가없음,,
skt,아이폰AIR 256,기기변경,69,free,109요금 6개월,부가없음,,
skt,아이폰17 프로 256,기기변경,89,free,109요금 6개월,부가없음,,
skt,아이폰17 프로맥스 256,기기변경,131,free,109요금 6개월,부가없음,,
skt,플립7,기기변경,36,free,109요금 6개월,부가없음,,

kt,S25,번호이동,0,free,110요금 6개월,부가있음,,
kt,S25,기기변경,-5,minus,110요금 6개월,부가있음,,
kt,S24 울트라 256,번호이동,6,free,110요금 6개월,부가있음,,
kt,플립6,번호이동,-20,minus,90요금 6개월,부가있음,진열상품,박스개봉
kt,폴드6,번호이동,35,free,90요금 6개월,부가있음,진열상품,박스개봉

lg,아이폰17 256,번호이동,4,free,115요금 6개월,부가있음,,
lg,플립7,기기변경,7,free,115요금 6개월,부가있음,,
lg,S25,번호이동,-13,minus,115요금 6개월,부가있음,,
lg,갤럭시 버디4,기기변경,0,free,시니어33/키즈22/청소년33,부가없음,,
lg,아이폰16 128,번호이동,-10,minus,115요금 6개월,부가있음,,
lg,아이폰16E 128,번호이동,-15,minus,115요금 6개월,부가있음,,

internet,인터넷+TV,통신사이동,현금최대,cash,전화·문자·카톡문의,설치비별도,,

	


