기종,SK_요금제,SK_이동,SK_기변,KT_요금제,KT_이동,KT_기변,LG_요금제,LG_이동,LG_기변,요금할인
아이폰17 256,109,12,41,61,0,17,115,-2,67,X
아이폰 AIR 256,109,42,71,61,30,47,115,30,82,X
아이폰17 PRO256,109,62,91,61,50,67,115,33,102,X
아이폰17 PROMAX256,109,104,133,61,113,130,115,87,146,X
플립7 256,109,1,31,61,24,24,115,-9,28,X
폴드7 256,109,90,132,61,113,113,115,90,129,X
S25 256,109,-20,11,61,-12,-5,115,-30,29,X
S25울트라 256,109,34,60,61,48,65,115,29,83,X
S25엣지 256,109,4,30,61,16,23,115,-6,53,X
S25+256,109,0,36,,,,115,-5,49,X
플립7FE 256,109,8,28,,,,,,,X
퀀텀6 128,109,-21,-1,,,,,,,O
S25FE 256,109,-4,6,,,,,,,X
갤럭시와이드8,33,-13,2,,,,,,,X
갤럭시 A36,33,7,22,,,,,,,X
갤럭시A17,33,0,12,,,,,,,X
아이폰16 128,,,,61,-25,-7,,,,X
